densenet121
PYTORCH_MODEL=True
BATCH_SIZE=16
EPOCHS=200
Adam params:
LEARNING_RATE=0.0001
WEIGHT_DECAY=0
BETAS=(0.9, 0.999)
EPS=1e-08
Epoch [1/200.0], Loss: 2.7787
Epoch [2/200.0], Loss: 2.2269
Epoch [3/200.0], Loss: 1.3612
Epoch [4/200.0], Loss: 0.8880
Epoch [5/200.0], Loss: 0.6764
Epoch [6/200.0], Loss: 0.5342
Epoch [7/200.0], Loss: 0.4556
Epoch [8/200.0], Loss: 0.2951
Epoch [9/200.0], Loss: 0.1989
Epoch [10/200.0], Loss: 0.1362
Epoch [11/200.0], Loss: 0.2198
Epoch [12/200.0], Loss: 0.1911
Epoch [13/200.0], Loss: 0.1658
Epoch [14/200.0], Loss: 0.1996
Epoch [15/200.0], Loss: 0.1733
Epoch [16/200.0], Loss: 0.0704
Epoch [17/200.0], Loss: 0.0449
Epoch [18/200.0], Loss: 0.1443
Epoch [19/200.0], Loss: 0.0773
Epoch [20/200.0], Loss: 0.0877
Epoch [21/200.0], Loss: 0.0270
Epoch [22/200.0], Loss: 0.0339
Epoch [23/200.0], Loss: 0.1032
Epoch [24/200.0], Loss: 0.0325
Epoch [25/200.0], Loss: 0.0314
Epoch [26/200.0], Loss: 0.0429
Epoch [27/200.0], Loss: 0.0669
Epoch [28/200.0], Loss: 0.0457
Epoch [29/200.0], Loss: 0.0560
Epoch [30/200.0], Loss: 0.0153
Epoch [31/200.0], Loss: 0.0280
Epoch [32/200.0], Loss: 0.0145
Epoch [33/200.0], Loss: 0.0312
Epoch [34/200.0], Loss: 0.0314
Epoch [35/200.0], Loss: 0.0222
Epoch [36/200.0], Loss: 0.0786
Epoch [37/200.0], Loss: 0.0824
Epoch [38/200.0], Loss: 0.0494
Epoch [39/200.0], Loss: 0.0217
Epoch [40/200.0], Loss: 0.0254
Epoch [41/200.0], Loss: 0.0467
Epoch [42/200.0], Loss: 0.0267
Epoch [43/200.0], Loss: 0.0144
