densenet121
PYTORCH_MODEL=False
BATCH_SIZE=16
EPOCHS=200
Adam params:
LEARNING_RATE=0.0001
WEIGHT_DECAY=0
BETAS=(0.9, 0.999)
EPS=1e-08
Epoch [1/200], Loss: 1.93379402
Epoch [2/200], Loss: 0.73538691
Epoch [3/200], Loss: 0.55659944
Epoch [4/200], Loss: 0.32020187
Epoch [5/200], Loss: 0.16703142
Epoch [6/200], Loss: 0.30755353
Epoch [7/200], Loss: 0.15691070
Epoch [8/200], Loss: 0.10368182
Epoch [9/200], Loss: 0.06331846
Epoch [10/200], Loss: 0.06120067
Epoch [11/200], Loss: 0.05576817
Epoch [12/200], Loss: 0.07786027
Epoch [13/200], Loss: 0.31837866
Epoch [14/200], Loss: 0.03619963
Epoch [15/200], Loss: 0.06156868
Epoch [16/200], Loss: 0.07551952
Epoch [17/200], Loss: 0.03226922
Epoch [18/200], Loss: 0.04026534
Epoch [19/200], Loss: 0.02356846
Epoch [20/200], Loss: 0.08963455
Epoch [21/200], Loss: 0.06282939
Epoch [22/200], Loss: 0.01531715
Epoch [23/200], Loss: 0.01884902
Epoch [24/200], Loss: 0.05578378
Epoch [25/200], Loss: 0.03181854
Epoch [26/200], Loss: 0.01860821
Epoch [27/200], Loss: 0.01133373
Epoch [28/200], Loss: 0.01641051
Epoch [29/200], Loss: 0.03650010
Epoch [30/200], Loss: 0.01063170
Epoch [31/200], Loss: 0.00958203
Epoch [32/200], Loss: 0.02902610
Epoch [33/200], Loss: 0.02490526
Epoch [34/200], Loss: 0.00741550
Epoch [35/200], Loss: 0.02696839
Epoch [36/200], Loss: 0.00842914
Epoch [37/200], Loss: 0.00934917
Epoch [38/200], Loss: 0.00896175
Epoch [39/200], Loss: 0.00623955
Epoch [40/200], Loss: 0.00867747
Epoch [41/200], Loss: 0.02254185
Epoch [42/200], Loss: 0.02578848
Epoch [43/200], Loss: 0.02013990
Epoch [44/200], Loss: 0.05877476
Epoch [45/200], Loss: 0.00495785
Epoch [46/200], Loss: 0.01076723
Epoch [47/200], Loss: 0.00514092
Epoch [48/200], Loss: 0.02623281
Epoch [49/200], Loss: 0.02106313
Epoch [50/200], Loss: 0.02122645
Epoch [51/200], Loss: 0.01497873
Epoch [52/200], Loss: 0.00346662
Epoch [53/200], Loss: 0.01178354
Epoch [54/200], Loss: 0.00868586
Epoch [55/200], Loss: 0.02299833
Epoch [56/200], Loss: 0.01404054
Epoch [57/200], Loss: 0.01743200
Epoch [58/200], Loss: 0.02017738
Epoch [59/200], Loss: 0.00819620
Epoch [60/200], Loss: 0.01141225
Epoch [61/200], Loss: 0.00267308
Epoch [62/200], Loss: 0.01164594
Epoch [63/200], Loss: 0.00263897
Epoch [64/200], Loss: 0.00513657
Epoch [65/200], Loss: 0.00298978
Epoch [66/200], Loss: 0.00237454
Epoch [67/200], Loss: 0.07253034
Epoch [68/200], Loss: 0.00450177
Epoch [69/200], Loss: 0.00900676
Epoch [70/200], Loss: 0.00449083
Epoch [71/200], Loss: 0.00269310
Epoch [72/200], Loss: 0.00232629
Epoch [73/200], Loss: 0.00755595
Epoch [74/200], Loss: 0.00235022
Epoch [75/200], Loss: 0.00215925
Epoch [76/200], Loss: 0.01151746
Epoch [77/200], Loss: 0.00778117
Epoch [78/200], Loss: 0.02727358
Epoch [79/200], Loss: 0.00340250
Epoch [80/200], Loss: 0.01707045
Epoch [81/200], Loss: 0.08145560
Epoch [82/200], Loss: 0.00427762
Epoch [83/200], Loss: 0.03311437
Epoch [84/200], Loss: 0.00319271
Epoch [85/200], Loss: 0.00355527
Epoch [86/200], Loss: 0.00851145
Epoch [87/200], Loss: 0.00220496
Epoch [88/200], Loss: 0.00261131
Epoch [89/200], Loss: 0.01715667
Epoch [90/200], Loss: 0.00900122
Epoch [91/200], Loss: 0.00441489
Epoch [92/200], Loss: 0.06588791
Epoch [93/200], Loss: 0.47213382
Epoch [94/200], Loss: 0.18457036
Epoch [95/200], Loss: 0.01570460
Epoch [96/200], Loss: 0.00985758
Epoch [97/200], Loss: 0.02849170
Epoch [98/200], Loss: 0.01501013
Epoch [99/200], Loss: 0.00382655
Epoch [100/200], Loss: 0.01508570
Epoch [101/200], Loss: 0.00387471
Epoch [102/200], Loss: 0.00545691
Epoch [103/200], Loss: 0.00483243
Epoch [104/200], Loss: 0.00141407
Epoch [105/200], Loss: 0.01299741
Epoch [106/200], Loss: 0.01566250
Epoch [107/200], Loss: 0.02369642
Epoch [108/200], Loss: 0.00112371
Epoch [109/200], Loss: 0.00595522
Epoch [110/200], Loss: 0.00619903
Epoch [111/200], Loss: 0.00116739
Epoch [112/200], Loss: 0.00105622
Epoch [113/200], Loss: 0.00896212
Epoch [114/200], Loss: 0.00083031
Epoch [115/200], Loss: 0.00619759
Epoch [116/200], Loss: 0.00093585
Epoch [117/200], Loss: 0.00119273
Epoch [118/200], Loss: 0.00097092
Epoch [119/200], Loss: 0.00344811
Epoch [120/200], Loss: 0.00082156
Epoch [121/200], Loss: 0.00420476
